observation_date,Median_Income,Year,Housing_Price_Index,CPI,CPI_Normalized,Housing_Price_Normalized,Income_Normalized,Affordability_Ratio_Normalized
1984-01-01,25290,1984,120990.0,104.28333333333335,1.0,1.0,1.0,1.0
1985-01-01,26980,1985,127607.49999999999,108.48333333333333,1.0402748921208245,1.0546946028597404,1.0668248319493872,0.9886295962313876
1986-01-01,29010,1986,136455.0,111.76666666666667,1.0717596292152787,1.1278204810314902,1.1470937129300118,0.9831982063180417
1987-01-01,30150,1987,150767.49999999997,115.39166666666667,1.106520696819562,1.246115381436482,1.1921708185053381,1.0452490214437358
1988-01-01,30290,1988,174465.0,120.5,1.1555058334665174,1.4419786759236302,1.1977066034005537,1.203949841997643
1989-01-01,33010,1989,211140.0,126.35000000000001,1.211603004634809,1.7451029010662038,1.3052589956504548,1.3369782601625053
1990-01-01,33290,1990,228547.5,132.04999999999998,1.266261786798785,1.8889784279692536,1.3163305654408857,1.4350334768201392
1991-01-01,33660,1991,227829.99999999997,137.90833333333333,1.3224388684673165,1.883048185800479,1.3309608540925266,1.4148035834490231
1992-01-01,34900,1992,225015.0,142.5,1.3664695540994085,1.8597818001487727,1.379992091735864,1.3476756941479215
1993-01-01,34070,1993,216535.0,146.34166666666667,1.4033082947099247,1.7896933630878584,1.3471727955713722,1.3284809261077763
1994-01-01,35330,1994,205959.99999999997,148.65,1.4254435032763304,1.7022894454087112,1.3969948596283115,1.2185366565068303
1995-01-01,37010,1995,202167.5,151.56666666666666,1.4534121783602363,1.670943879659476,1.4634242783708975,1.1418041263601229
1996-01-01,38810,1996,201670.0,155.06666666666666,1.4869745884609236,1.666831969584263,1.5345986555950968,1.0861680110998717
1997-01-01,39690,1997,207024.99999999997,160.38333333333333,1.5379574876138722,1.7110918257707246,1.5693950177935942,1.0902875352416637
1998-01-01,40930,1998,224492.5,165.75,1.5894198497682595,1.8554632614265643,1.6184262554369315,1.1464614190441684
1999-01-01,43630,1999,242425.0,172.76666666666665,1.6567044909701132,2.0036779899165222,1.7251878212732306,1.1614259996559442
2000-01-01,46820,2000,272835.0,180.58333333333334,1.7316605401949816,2.2550210761219938,1.8513246342427838,1.2180581592295008
2001-01-01,47260,2001,307662.5,190.20000000000002,1.8238772574716318,2.542875444251591,1.8687228153420323,1.3607558185595163
2002-01-01,47440,2002,342025.0,193.08333333333334,1.8515262905545788,2.82688651954707,1.8758402530644525,1.506997472161581
2003-01-01,49300,2003,384705.0,196.53333333333333,1.8846092376538275,3.1796429456979918,1.9493871095294584,1.631098784922966
2004-01-01,49220,2004,472217.5,198.98333333333335,1.9081029247243086,3.9029465245061576,1.9462238038750495,2.0053945063949765
2005-01-01,51760,2005,583305.0000000001,202.86666666666667,1.9453412178360234,4.821100917431194,2.046658758402531,2.3555958694326677
2006-01-01,55320,2006,642995.0,209.53333333333333,2.0092696180278087,5.314447474997934,2.187425860023725,2.4295440463249776
2007-01-01,55730,2007,608202.5,216.38783333333333,2.0749992008949976,5.02688238697413,2.20363780150257,2.2811745122299616
2008-01-01,57010,2008,486659.99999999994,222.77166666666668,2.1362154387086463,4.022315893875526,2.254250691973112,1.7843250123857584
2009-01-01,56130,2009,421215.0,224.6338333333333,2.1540722390922165,3.4814034217703944,2.2194543297746145,1.5685852937212414
2010-01-01,54280,2010,408552.5,227.61183333333335,2.182629055457887,3.376746012067113,2.1463028865164095,1.573284941878727
2011-01-01,53370,2011,387247.5,233.66899999999998,2.240712801662138,3.200657079097446,2.110320284697509,1.5166688688471879
2012-01-01,57020,2012,388312.5,239.86800000000002,2.30015662458047,3.2094594594594597,2.254646105179913,1.423487017357589
2013-01-01,60790,2013,435794.99999999994,245.28116666666665,2.3520648873261942,3.601909248698239,2.4037168841439303,1.4984748297347996
2014-01-01,60490,2014,487755.0,252.2595,2.4189819402269457,4.031366228613935,2.3918544879398973,1.6854563055322604
2015-01-01,63640,2015,522382.49999999994,258.81233333333336,2.4818187629854562,4.317567567567567,2.516409648082246,1.715764987174478
2016-01-01,66640,2016,559327.5,266.808,2.5584912897554735,4.622923382097694,2.635033610122578,1.7544077480979994
2017-01-01,70040,2017,595915.0,275.39933333333335,2.6408758190826274,4.9253244069757836,2.7694741004349543,1.778433098977978
2018-01-01,70490,2018,634602.5,286.33750000000003,2.7457647434872943,5.245082238201504,2.787267694741004,1.8818006781687622
2019-01-01,78100,2019,655137.5,295.3711666666666,2.832390922167172,5.414807008843706,3.088177145116647,1.753399094156944
2020-01-01,77650,2020,682957.5,300.4436666666667,2.881032443663097,5.644743367220431,3.070383550810597,1.8384489344108785
2021-01-01,81580,2021,779002.5,310.59,2.978328272334984,6.438569303248203,3.2257809410834324,1.9959722686828518
2022-01-01,85300,2022,899020.0,327.96116666666666,3.1449049065047143,7.430531448880073,3.372874654013444,2.2030262642693677
2023-01-01,89870,2023,912620.0,339.49216666666666,3.2554786638964357,7.542937432845689,3.55357848952155,2.1226314418233843
